headline,source,source_type,label
Putin prvýkrát reaguje na útok dronom v Rumunsku: Nečakané slová o von der Leyenovej,cas.sk,tabloid,1
Rumunský prezident odhalil pôvod dronu: TOTO sa s ním stalo tesne pred hranicami,cas.sk,tabloid,1
"Európou sa raketovo šíria 2 choroby: V strehu musia byť muži! Šokujúce, kde je to najhoršie",cas.sk,tabloid,1
"VAROVANIE pre Slovákov: Zasiahne nás Hot Flash Drought?! Budete zhrození, čo prichádza",cas.sk,tabloid,1
Majtánová dostala po kauze so Smerom STOPKU: Prišiel nový verdikt od STVR! Jej osud je už jasný,cas.sk,tabloid,1
Desivé divadlo nad Košicami: Dva balóny sa zrazili počas letu! Svedkovia v šoku,cas.sk,tabloid,1
Vášaryová pritvrdila: Mám Banášove UDAVAČSKÉ listy! Priznanie o vnucovaní Lasicovi a nenávisti,cas.sk,tabloid,1
Zaslúžená dovolenka po náročnej sezóne: Regendov relax v Afrike v spoločnosti krásnej brunetky,cas.sk,tabloid,1
"Neuveriteľné, čo zažil taxikár z Trenčína: Panej to vrátila karma aj s úrokom! Slováci sa bavia",cas.sk,tabloid,1
Dal si zmrzlinu a o pár minút ZOMREL: Tragickú smrť Adriana (†16) sprevádzajú desivé PODOZRENIA,cas.sk,tabloid,1
Kouč Országh prehovoril o výrokoch mamy Pospíšilovcov: Čo povedal?,cas.sk,tabloid,1
"Úprimný odkaz českého trénera Rulíka: Keď som videl Slovákov, mal som obavy",cas.sk,tabloid,1
"MS v hokeji 2026: Kompletný program šampionátu, rozpis zápasov Slovenska",cas.sk,tabloid,1
Šokujúca premena Borisa Kollára: Omladnutý a ľahší o 20 kíl! PRAVDA o injekciách na chudnutie,cas.sk,tabloid,1
"Matiasko prestal chodiť: Na pomoc prišli šéfkuchári! Varili pre chlapčeka, ktorý verí v zázrak",cas.sk,tabloid,1
Európu čaká dopravný chaos: Zatvoria hlavnú dopravnú tepnu! Čakajte peklo,cas.sk,tabloid,1
Rodičia mali sexuálne zneužívať svoje DETI: Všetko mali natáčať a... Šokujúce zistenia polície,cas.sk,tabloid,1
Padlo rozhodnutie: Minister Šutaj Eštok musí zaplatiť čurillovcom poriadne vysokú sumu!,cas.sk,tabloid,1
"Internetový gigant Temu schytal megapokutu: Hrôza, čo predával na stránkach",cas.sk,tabloid,1
FOTO Hviezda z Rodiny Addamsovcov 2: Návrat na červený koberec po 11 rokoch! Spoznáte ju dnes?,cas.sk,tabloid,1
Šokujúce priznanie kráľovnej popu Madonny: TENTO muž bol jej najlepším milencom!,cas.sk,tabloid,1
"Zuzana, toto si videla? Belohorcovej 16-ročná dcéra Salma na odvážnych FOTO!",cas.sk,tabloid,1
Porotkyňa Let's Dance Laura Arcolinová skončila na urgente: ČO sa známej tanečnici stalo?!,cas.sk,tabloid,1
"Hana Lasicová provokuje: Poslala som partnerovi fotku, nech vie, o čo na Slovensku prichádza!",cas.sk,tabloid,1
Daniela Nízlová ZMENILA dcére priezvisko: Čelila problémom kvôli inému menu! Čo na to Lobotka?,cas.sk,tabloid,1
"Miška z Ruže pre nevestu odhalila, čo sa dialo mimo kamier: Toto je Adrianova PRAVÁ tvár!",cas.sk,tabloid,1
"FOTO Bagárová vystrojila dcérke MEGA oslavu, fanúšikom vyrazila dych! Neuveríte, kto sa ukázal",cas.sk,tabloid,1
Carolina – Montreal ONLINE: Koniec sezóny pre Slafkovského a spol. v NHL?,cas.sk,tabloid,1
Posila za 80 miliónov oficiálne podpísaná: Barcelona angažovala hviezdu Premier League,cas.sk,tabloid,0
"Švédi cítia krivdu, za pravdu im dal aj český expert: TOTO ovplyvnilo celý zápas",cas.sk,tabloid,1
"Favoriti padajú ako hrušky jeden po druhom: Djokovič viedol o dva sety, na Roland Garros končí",cas.sk,tabloid,1
Španieli to už považujú za hotovú vec: Na lavičku Realu sa vráti legendárny tréner,cas.sk,tabloid,1
"Renáta priniesla slovenské chute do Severného Írska: Miestni sa zalizujú! Sledujte, čo vypeká",cas.sk,tabloid,1
Kuriózna krádež pri Košiciach! Adamovi spred domu zmizlo 36 kolies: Jeden DETAIL mu nedá spávať,cas.sk,tabloid,1
"Zuzanu Smatanovú zastavili cudzie deti: SILNÉ, čo sa tam odohralo! Speváčka úplne dojatá",cas.sk,tabloid,1
Ryžové rolky so zeleninou: Jednoduchá ázijská večera s ryžovými rezancami a čili omáčkou,cas.sk,tabloid,0
"Farmárska polievka: Poctivá domáca klasika plná zeleniny, ryže a výraznej chuti",cas.sk,tabloid,0
Stanica v Brne: Tajomný odkaz od zosnulého dedka mi po rokoch zachránil vzťah s bratom,cas.sk,tabloid,1
KVÍZ: Uhádnete tradičné slovenské jedlá len podľa surovín? Plný počet dajú len pravé gazdinky!,cas.sk,tabloid,1
Najznámejší česko-slovenskí ALKOHOLICI: Jedno meno vás asi fakt ZASKOČÍ! Pil liter vodky denne!,cas.sk,tabloid,1
Dominika Cibulková prezradila nečakanú správu: Ďalší koniec!,cas.sk,tabloid,1
Ešte nie je ani rozvedená a už je TEHOTNÁ s iným?! Daniela má mať nový románik!,cas.sk,tabloid,1
"Ivana Christová ukázala schudnutú postavu: Vyzerá famózne, ako sa jej to podarilo?",cas.sk,tabloid,1
Zuzana Čaputová sa ukázala s novým účesom: Ubral jej minimálne 10 rokov!,cas.sk,tabloid,1
Toto je tých 10 najočakávanejších elektromobilov tohto roka,cas.sk,tabloid,1
Dorazí najlacnejšia Škoda do Európy? SUV s veľkosťou Fabie stojí na domácom trhu 7 000 eur,cas.sk,tabloid,1
Lancia Gamma je späť: Taliani chystajú veľký návrat,cas.sk,tabloid,1
"Krehké slané rožteky: Urobte dve dávky, zmiznú ešte horúce!",cas.sk,tabloid,1
Ktoré sú zdravšie? Rozdiel medzi jahodami a čučoriedkami vás prekvapí,cas.sk,tabloid,1
"Hit Netflixu sa vracia: Druhá séria mení všetko, ide do oveľa temnejších tém",cas.sk,tabloid,1
FOTO Naša prvá miss Ivana Christová SCHUDLA: Tenšia už roky nebola!,cas.sk,tabloid,1
Súd so Samuelom: Vyjadrenie prokurátora a obhajcu obžalovaného gymnazistu,cas.sk,tabloid,1
Ceny na štadióne počas MS v hokeji vo Švajčiarsku prekvapia: Koľko stojí voda či pivo?!,cas.sk,tabloid,1
"Polícia obvinila dílerku z Bratislavy, hrozí jej väzenie až na 15 rokov",cas.sk,tabloid,0
Seniori na štvorkolke napálili do stromu: Spolujazdec († 76) strašný náraz neprežil,cas.sk,tabloid,1
"Falošný Habera, Verešová v sieťke, Separ v papučiach a hviezdy pochodujúce vo Viedni v trenkách",cas.sk,tabloid,1
"Kramár a piate dieťa? Darin let za 8-tisíc, rozvod Brzobohatých a bizár v Bez servítky",cas.sk,tabloid,1
Škandál na škole v Česku: Sfetovaného školníka zbil sfetovaný riaditeľ,cas.sk,tabloid,1
Zuzanu Smatanovú odchytili neznáme deti a začali spievať jej pesničku.,cas.sk,tabloid,1
Mláďatá medveďa hnedého si užívajú horúci deň vo vode.,cas.sk,tabloid,0
Veľká ZMENA pre dovolenkárov v Chorvátsku: Obľúbené miesta zavádzajú prísne ZÁKAZY!,cas.sk,tabloid,1
Tragédia počas obhliadky domu: Stačila sekunda a realitná maklérka bola mŕtva,cas.sk,tabloid,1
"Zelenskyj varoval pred tým, čo chystá Rusko: Bude to veľké a príde to už čoskoro!",cas.sk,tabloid,1
Na Záhorí sa zrazili dva kamióny! Hrozivé FOTO zastaví dych: Vážne zranenia vodičov,cas.sk,tabloid,1
To Zelenskyj nemal robiť: Pohneval si hlavného spojenca! Poľsko sa búri a posiela drsný ODKAZ,cas.sk,tabloid,1
"VIDEO Polícia vošla do chatky, ozval sa zúfalý krik! Čo Mária urobila, trpko oľutuje",cas.sk,tabloid,1
"Sila vôle! Laura z Bratislavy bežala polmaratón, keď sa to stalo: Šokujúci verdikt lekára",cas.sk,tabloid,1
Dojímavé odkazy parťákov do nemocnice Legende Rusnákovi: To musíte vidieť!,cas.sk,tabloid,1
"Dráma, aká nemá obdobu: Husár vyletel na vlastnú hráčku! Krik, nadávky a lietali aj päste",cas.sk,tabloid,1
"Celebrity reagujú na prehru s Fínskom: Jasný odkaz našim hokejistom, Sajfa zaťal do živého!",cas.sk,tabloid,1
Hokejista Jakub († 40) odpadol v šatni a už sa neprebral: Ostali po ňom manželka a dve detičky!,cas.sk,tabloid,1
Čo rozhoduje pri kúpe nového auta? Slováci prezradili svoje preferencie,cas.sk,tabloid,1
"Vlhovej expartner Kyselica vytočený, čo Molnár povedal o Petre: Drsný ODKAZ známemu trénerovi!",cas.sk,tabloid,1
OKTAGON 77: Najsilnejšia karta v histórii Bratislavy už 4. októbra,cas.sk,tabloid,1
"Mýty vs. realita o čínskych autách: Aká je pravda o kvalite, servise a modernej technológii?",cas.sk,tabloid,1
"Repríza minuloročného finále pre Nitru, Slovan ako prvý našiel recept na Banskú Bystricu",cas.sk,tabloid,1
Sersen na rovinu o konci v Slovane: Pokračovanie? Od apríla sa mi nikto z klubu neozval,cas.sk,tabloid,1
ZUZULOVÁ sa vydala: Veronika prekvapila šatami! Ten detail vzadu nečakal nik,cas.sk,tabloid,1
"Zlé správy pre milovníkov SEXU! Letné radovánky v ohrození, počty nakazených v Európe trhajú rekordy",topky.sk,tabloid,1
Brutálny útok cyklistu na vodičku: Zhodil ju na zem a bil päsťami priamo na ulici! Výkriky zachytilo VIDEO,topky.sk,tabloid,1
AKTUÁLNE V Košiciach sa zrazili teplovzdušné balóny! VIDEO Núdzové pristátie pri nákupnom centre,topky.sk,tabloid,1
ZÁHADA okolo bývalého agenta CIA: Doma mu našli zlaté tehličky aj desiatky hodiniek Rolex! Expertka hovorí o korupcii,topky.sk,tabloid,1
Tieto telenovely pobláznili Slovensko: KVÍZ Viete uhádnuť ich názvy?,topky.sk,tabloid,1
Slovenský spevák šokoval po 36 rokoch: Rozvod a nová láska,topky.sk,tabloid,1
Madonna priznala meno najlepšieho milenca života: V tom čase bola vydatá a on je už mŕtvy!,topky.sk,tabloid,1
Najmladšia dcéra Karla Gotta Nelly Sofie oslávila 18 rokov: Z dievčatka je dospelá žena!,topky.sk,tabloid,1
Čaká nás nebeské divadlo: Nenechajte si ujsť nedeľnú noc! Na oblohe sa objaví výnimočný úkaz,topky.sk,tabloid,1
"Ranný nápoj, ktorý nakopne imunitu aj trávenie: Stačia 3 suroviny, ktoré máte určite doma",topky.sk,tabloid,1
Študent vo Švédsku zaútočil na učiteľku najsmradľavejšou rybou sveta! S TAKÝMTO trestom nerátal,topky.sk,tabloid,1
"Osamelosť, strach a stigma: Odborníci prehovorili o tom, čo verejnosť nevidí! Hovoria o tichom zabijakovi",topky.sk,tabloid,1
Slovenská herečka ukázala svoju princeznú: Nola už stihla aj vyhrať súťaž!,topky.sk,tabloid,1
Známy Slovák zažil na majstrovstvách výnimočný moment: Postarala sa o to jeho krásna dcéra,topky.sk,tabloid,1
Od kláštorov po skalné chrámy: Tieto miesta v UNESCO pozná málokto,topky.sk,tabloid,1
"Záhady ľudského tela, ktoré vedcov stále fascinujú: Na tieto otázky o tele stále nepoznáme odpovede!",topky.sk,tabloid,1
"Ford Transit City nie je konkurent e-Transitu Custom, je určený do miest",topky.sk,tabloid,1
Veľké UVEDOMENIE: Viktor zostal s deťmi sám doma! Jeho odkaz matkám rezonuje internetom,topky.sk,tabloid,1
